,id,radius_mean,texture_mean,perimeter_mean,area_mean,smoothness_mean,compactness_mean,concavity_mean,concave points_mean,symmetry_mean,fractal_dimension_mean,radius_se,texture_se,perimeter_se,area_se,smoothness_se,compactness_se,concavity_se,concave points_se,symmetry_se,fractal_dimension_se,radius_worst,texture_worst,perimeter_worst,area_worst,smoothness_worst,compactness_worst,concavity_worst,concave points_worst,symmetry_worst,fractal_dimension_worst,gender,Bratio
id,1.0,0.07475074271940114,0.0966252904096977,0.07434909322588541,0.0983268035563963,-0.009995025990520223,-0.0014235621595876564,0.05331068476012133,0.045903516632824715,-0.023380262895888876,-0.054746016312583475,0.1445403575666633,-0.01143347959072864,0.1384023458552783,0.1797033691952961,0.09637990986652657,0.03637848413479466,0.055726993030712026,0.07897516053278421,-0.01777478577973282,0.023636286946009298,0.08315207843150298,0.06606829217802879,0.0834025888170193,0.1077852226309294,0.00807983537557777,-0.003094648093723781,0.02533165121387702,0.03576768259391732,-0.041091260824982594,-0.03131356011780088,,0.05252862316308645
radius_mean,0.07475074271940114,1.0,0.2780259638477725,0.9978401373437952,0.9871673788307387,0.0691635831009505,0.5069270155414125,0.6723562240814588,0.8240738229002297,0.14706473227167713,-0.31849297086807926,0.6786400487555431,-0.10202755102119587,0.6700253124772403,0.73194768616714,-0.22044603397470783,0.1852815505272082,0.19211662319516257,0.3762392108305304,-0.1066806236477044,-0.04196103759705863,0.9691731580072975,0.2872969451990228,0.9641200719530502,0.9406668516728115,0.12103801157560344,0.41294632178310314,0.5251413501708138,0.7431613643429335,0.1647947800246331,0.0045593667496488955,,0.06476430066277478
texture_mean,0.0966252904096977,0.2780259638477725,1.0,0.2888142556206209,0.28609225737198896,0.02661365897491951,0.22443311433815014,0.2669016474610679,0.2613417857819847,0.06902504698481975,-0.057353715221847505,0.2731733375682346,0.36977074510755503,0.26412469043251924,0.23624508704634356,0.01719469451155412,0.1865888974260844,0.13716499757950176,0.1523610901043793,0.020621328686109053,0.0599256861705384,0.30473513660342094,0.846600802186565,0.3114364075335721,0.29904126782032475,0.06556041948514243,0.2613757879597129,0.27289733548807726,0.25313023833890436,0.09649523594090526,0.11376920923777567,,0.004790814854341759
perimeter_mean,0.07434909322588541,0.9978401373437952,0.2888142556206209,1.0,0.9865209993089256,0.06619767911158256,0.558629896727364,0.7129719289769484,0.852797585888077,0.18177914468744216,-0.2637095435109165,0.6947819427259602,-0.08877855809176369,0.6925429191256942,0.7440422216126588,-0.2025606526541603,0.23117123576463874,0.2300883014553775,0.408753235616557,-0.08350783981042088,-0.0023977734045891983,0.9693693527080612,0.2978024154352102,0.9698745393903162,0.9417054113474774,0.15013681883881255,0.4553342336543242,0.5650960510126927,0.7704555023838691,0.1889843721116409,0.05075832849571453,,0.07384009394143314
area_mean,0.0983268035563963,0.9871673788307387,0.28609225737198896,0.9865209993089256,1.0,0.07312209847199659,0.499894283659526,0.6817197259050828,0.8257678232710981,0.14775239140674815,-0.2839687305668531,0.7357018240959419,-0.06537070084844603,0.7269172142006937,0.7995582547222251,-0.15936908787314868,0.1934134372195427,0.2114730825482076,0.3773855525919844,-0.07123152334882248,-0.014638910697687593,0.9624995910126347,0.2837916264018398,0.9591305148240011,0.9590600519633494,0.12262642562770189,0.39014067878622427,0.5115287337312752,0.7231442996824756,0.13931794796520539,0.0023238783681796796,,0.08722657210706793
smoothness_mean,-0.009995025990520223,0.0691635831009505,0.02661365897491951,0.06619767911158256,0.07312209847199659,1.0,-0.0014329956708443478,0.03181669465659536,0.05041231307078654,-0.03541325272482996,-0.05316823384957435,0.05418263797795632,-0.015158333072163495,0.06292544807937143,0.06803879759798528,-0.0076338688840832634,-0.015545169895589746,0.0026365340223073186,0.023275219247034608,-0.03565588404775841,-0.028812232615105748,0.0973234304246922,0.035735438996674015,0.10165186544942241,0.11387226579053024,0.034493345514680085,0.016129576894022654,0.05335890344079083,0.0798735101941249,-0.009229901320040016,-0.01831844180339513,,-0.06374756379904309
compactness_mean,-0.0014235621595876564,0.5069270155414125,0.22443311433815014,0.558629896727364,0.499894283659526,-0.0014329956708443478,1.0,0.8807666798026901,0.8307190317358908,0.6055813734326474,0.5619390228580404,0.500684493653488,0.046529446181633856,0.5494692206823357,0.45734727241452755,0.13123961011279497,0.7316387340780331,0.573494296606966,0.6425348929616648,0.23126128917321478,0.5056478200626016,0.5370372853760073,0.25325099944095597,0.589790344576084,0.5128922869421354,0.5630498994586394,0.8663121789281738,0.8169787482680255,0.8164387299651342,0.5145379396268452,0.6865482610197376,,0.08713068397965605
concavity_mean,0.05331068476012133,0.6723562240814588,0.2669016474610679,0.7129719289769484,0.6817197259050828,0.03181669465659536,0.8807666798026901,1.0,0.919901131878949,0.49735827440929675,0.335283181226857,0.6307322074094086,0.07022358788823665,0.6562500466954707,0.6146724175999871,0.10127679084724395,0.6563443264703097,0.6913374622475583,0.6874548111338028,0.1793457794466594,0.44824261050671765,0.6823569452047819,0.2906502696242935,0.7212112382525556,0.6721235560795489,0.44931062964432184,0.7492126824834414,0.8824435761358893,0.8611923077970834,0.4063458025693864,0.5103307276173196,,0.11475460826707622
concave points_mean,0.045903516632824715,0.8240738229002297,0.2613417857819847,0.852797585888077,0.8257678232710981,0.05041231307078654,0.8307190317358908,0.919901131878949,1.0,0.45690601538416287,0.15678219591083484,0.6972136445976725,0.010381164462351765,0.7068838698941561,0.6871352609021629,0.019005084156937184,0.4708684350182327,0.43709286318388807,0.6120001264043187,0.09429917422625615,0.2566384151116782,0.8315556195483647,0.28900224060890123,0.8539072634939189,0.8118496965661808,0.4520107952175117,0.6652928268764506,0.7535627627648739,0.9097886437633257,0.377054891329626,0.36699314052578497,,0.10318380551047864
symmetry_mean,-0.023380262895888876,0.14706473227167713,0.06902504698481975,0.18177914468744216,0.14775239140674815,-0.03541325272482996,0.6055813734326474,0.49735827440929675,0.45690601538416287,1.0,0.4788752005641293,0.3022504638166747,0.128057736601414,0.31375373441331805,0.2234182928828431,0.18805862469096482,0.4124597368025898,0.3469242738776574,0.39533377737411035,0.44839045639007175,0.3326023021181892,0.1869723871732594,0.08896365260396197,0.22101857491102606,0.17554681855943358,0.4287722301111438,0.4942165374339469,0.4406202442553905,0.43099031459031595,0.7021081378562427,0.45124356128551457,,0.08407359957972284
fractal_dimension_mean,-0.054746016312583475,-0.31849297086807926,-0.057353715221847505,-0.2637095435109165,-0.2839687305668531,-0.05316823384957435,0.5619390228580404,0.335283181226857,0.15678219591083484,0.4788752005641293,1.0,-0.0019630957457769313,0.16354862794485608,0.03474510929212621,-0.0882845146273637,0.39546993523053875,0.5605825031869096,0.4547769233864228,0.34081194490886857,0.3451559636368184,0.6879640660537482,-0.2535193482736169,-0.04224088048039802,-0.2056280843564679,-0.23086011558526687,0.5049755217346131,0.46114660716620465,0.3457534202306033,0.1786952189084717,0.3368587285882793,0.7680885047688999,,0.02538161870871184
radius_se,0.1445403575666633,0.6786400487555431,0.2731733375682346,0.6947819427259602,0.7357018240959419,0.05418263797795632,0.500684493653488,0.6307322074094086,0.6972136445976725,0.3022504638166747,-0.0019630957457769313,1.0,0.20984078757777774,0.9728370838293015,0.9521713886863037,0.1636527490806939,0.33880663333485794,0.333065933081684,0.5172294291579962,0.24001978753723643,0.2301545001654044,0.7185634867109854,0.18866467735548695,0.7220876991999796,0.7564373695553538,0.14563772122749602,0.2887893092570552,0.3824815491245805,0.532567208976091,0.0982076448234697,0.05004564653866923,,0.0865108140844885
texture_se,-0.01143347959072864,-0.10202755102119587,0.36977074510755503,-0.08877855809176369,-0.06537070084844603,-0.015158333072163495,0.046529446181633856,0.07022358788823665,0.010381164462351765,0.128057736601414,0.16354862794485608,0.20984078757777774,1.0,0.22118504689189836,0.10829515382129738,0.39633118525803607,0.21858796465470165,0.19533282671701108,0.22919224388299483,0.414213590810807,0.2799379625816501,-0.1153210293711402,0.4046846204097359,-0.10992631645821259,-0.08551092692916075,-0.07623660593464082,-0.08893948490672701,-0.07201513423705513,-0.12283617923222875,-0.1266873570524042,-0.04404688888294512,,0.007003995908641328
perimeter_se,0.1384023458552783,0.6700253124772403,0.26412469043251924,0.6925429191256942,0.7269172142006937,0.06292544807937143,0.5494692206823357,0.6562500466954707,0.7068838698941561,0.31375373441331805,0.03474510929212621,0.9728370838293015,0.22118504689189836,1.0,0.9374487860783166,0.14875952241013557,0.4021397268917646,0.36123827635860845,0.5559730169887223,0.2684876114615161,0.24411961889971523,0.696712994158352,0.20095931001709955,0.720377778054377,0.7303973436329694,0.12935644322252518,0.3417428653704293,0.4188989640030388,0.5527775583743706,0.11237774895086397,0.08347040321323183,,0.07927546688998229
area_se,0.1797033691952961,0.73194768616714,0.23624508704634356,0.7440422216126588,0.7995582547222251,0.06803879759798528,0.45734727241452755,0.6146724175999871,0.6871352609021629,0.2234182928828431,-0.0882845146273637,0.9521713886863037,0.10829515382129738,0.9374487860783166,1.0,0.07824622424646878,0.2618534786101598,0.27026822890834984,0.4150511382901163,0.1343924100701761,0.1317496217870058,0.7563339365208324,0.18968206881191568,0.7585853340420423,0.8112907831330768,0.1254469193467657,0.281611071001468,0.3835525666236107,0.5343934090428202,0.07301061181001166,0.019118891035646467,,0.09559077720353953
smoothness_se,0.09637990986652657,-0.22044603397470783,0.01719469451155412,-0.2025606526541603,-0.15936908787314868,-0.0076338688840832634,0.13123961011279497,0.10127679084724395,0.019005084156937184,0.18805862469096482,0.39546993523053875,0.1636527490806939,0.39633118525803607,0.14875952241013557,0.07824622424646878,1.0,0.3090990871664059,0.2688040117170921,0.3259310441794687,0.41752440172037725,0.4262983773727096,-0.22698645096420697,-0.07068451002500871,-0.21564588180294061,-0.1797967269865389,0.3073580221748143,-0.05734884219350749,-0.061707396124738016,-0.1048905312389746,-0.10830786259683212,0.0989386717872944,,0.03154038820655652
compactness_se,0.03637848413479466,0.1852815505272082,0.1865888974260844,0.23117123576463874,0.1934134372195427,-0.015545169895589746,0.7316387340780331,0.6563443264703097,0.4708684350182327,0.4124597368025898,0.5605825031869096,0.33880663333485794,0.21858796465470165,0.4021397268917646,0.2618534786101598,0.3090990871664059,1.0,0.7980763103579067,0.7498641672751769,0.38340712203730465,0.8025388331454664,0.18876702258907238,0.15178068763560512,0.24909852133670088,0.19002306665729662,0.2156263026737596,0.6807756401811631,0.6393797432818178,0.48021039166719615,0.2936305956182334,0.6006513079965348,,0.047141102266992904
concavity_se,0.055726993030712026,0.19211662319516257,0.13716499757950176,0.2300883014553775,0.2114730825482076,0.0026365340223073186,0.573494296606966,0.6913374622475583,0.43709286318388807,0.3469242738776574,0.4547769233864228,0.333065933081684,0.19533282671701108,0.36123827635860845,0.27026822890834984,0.2688040117170921,0.7980763103579067,1.0,0.7766745089302081,0.3098732855976532,0.7318770013927003,0.18690958831130508,0.10599644444597689,0.2305210730157784,0.190942764972691,0.16898540722712654,0.48572754422283587,0.6639689340398701,0.4441012581158425,0.2050344947986847,0.4415398449029565,,0.10742901836906717
concave points_se,0.07897516053278421,0.3762392108305304,0.1523610901043793,0.408753235616557,0.3773855525919844,0.023275219247034608,0.6425348929616648,0.6874548111338028,0.6120001264043187,0.39533377737411035,0.34081194490886857,0.5172294291579962,0.22919224388299483,0.5559730169887223,0.4150511382901163,0.3259310441794687,0.7498641672751769,0.7766745089302081,1.0,0.3163051858749346,0.612224845874969,0.3602815930906673,0.0880958034063151,0.399771010219833,0.34692023123074556,0.21448108938665414,0.45394334264998376,0.5536319979818491,0.6058009221326935,0.15131434823105452,0.3122040208016043,,0.05471935285924691
symmetry_se,-0.01777478577973282,-0.1066806236477044,0.020621328686109053,-0.08350783981042088,-0.07123152334882248,-0.03565588404775841,0.23126128917321478,0.1793457794466594,0.09429917422625615,0.44839045639007175,0.3451559636368184,0.24001978753723643,0.414213590810807,0.2684876114615161,0.1343924100701761,0.41752440172037725,0.38340712203730465,0.3098732855976532,0.3163051858749346,1.0,0.37104408147616175,-0.12460988294485822,-0.07660505520744859,-0.1034560251816903,-0.11271655915329043,-0.013145417180681554,0.06713497594055551,0.03747276611113555,-0.027016493799431926,0.39556201956140713,0.079206497177462,,-0.006787334611181958
fractal_dimension_se,0.023636286946009298,-0.04196103759705863,0.0599256861705384,-0.0023977734045891983,-0.014638910697687593,-0.028812232615105748,0.5056478200626016,0.44824261050671765,0.2566384151116782,0.3326023021181892,0.6879640660537482,0.2301545001654044,0.2799379625816501,0.24411961889971523,0.1317496217870058,0.4262983773727096,0.8025388331454664,0.7318770013927003,0.612224845874969,0.37104408147616175,1.0,-0.03404842751863136,0.0026781612828946505,0.004894336845157092,-0.015977525089934688,0.17013528887799734,0.39129949540814696,0.3806828229649179,0.21679405231621252,0.13443511905893474,0.5909353058227873,,0.04357280963832021
radius_worst,0.08315207843150298,0.9691731580072975,0.30473513660342094,0.9693693527080612,0.9624995910126347,0.0973234304246922,0.5370372853760073,0.6823569452047819,0.8315556195483647,0.1869723871732594,-0.2535193482736169,0.7185634867109854,-0.1153210293711402,0.696712994158352,0.7563339365208324,-0.22698645096420697,0.18876702258907238,0.18690958831130508,0.3602815930906673,-0.12460988294485822,-0.03404842751863136,1.0,0.3549097079387196,0.9935904797515053,0.9840389565737204,0.22233284669672632,0.47389956071453965,0.572914841424931,0.7870826925870985,0.24732509327677435,0.09282410145695788,,0.07309118082641013
texture_worst,0.06606829217802879,0.2872969451990228,0.846600802186565,0.2978024154352102,0.2837916264018398,0.035735438996674015,0.25325099944095597,0.2906502696242935,0.28900224060890123,0.08896365260396197,-0.04224088048039802,0.18866467735548695,0.4046846204097359,0.20095931001709955,0.18968206881191568,-0.07068451002500871,0.15178068763560512,0.10599644444597689,0.0880958034063151,-0.07660505520744859,0.0026781612828946505,0.3549097079387196,1.0,0.3575162301689338,0.339081508992646,0.2314074192572997,0.36794693938243844,0.3735215102603338,0.3556684302010657,0.23182549427749513,0.2278087459599537,,0.028806517351273236
perimeter_worst,0.0834025888170193,0.9641200719530502,0.3114364075335721,0.9698745393903162,0.9591305148240011,0.10165186544942241,0.589790344576084,0.7212112382525556,0.8539072634939189,0.22101857491102606,-0.2056280843564679,0.7220876991999796,-0.10992631645821259,0.720377778054377,0.7585853340420423,-0.21564588180294061,0.24909852133670088,0.2305210730157784,0.399771010219833,-0.1034560251816903,0.004894336845157092,0.9935904797515053,0.3575162301689338,1.0,0.9774443209671838,0.23528950594666959,0.5286235178874803,0.6180863535512663,0.8141446317273665,0.27188218783537504,0.1411128292608214,,0.06853496538077493
area_worst,0.1077852226309294,0.9406668516728115,0.29904126782032475,0.9417054113474774,0.9590600519633494,0.11387226579053024,0.5128922869421354,0.6721235560795489,0.8118496965661808,0.17554681855943358,-0.23086011558526687,0.7564373695553538,-0.08551092692916075,0.7303973436329694,0.8112907831330768,-0.1797967269865389,0.19002306665729662,0.190942764972691,0.34692023123074556,-0.11271655915329043,-0.015977525089934688,0.9840389565737204,0.339081508992646,0.9774443209671838,1.0,0.21236081206021043,0.4365093381420325,0.5422633823118671,0.747295759072589,0.20689089255202753,0.08021032261396797,,0.08962085961597972
smoothness_worst,0.00807983537557777,0.12103801157560344,0.06556041948514243,0.15013681883881255,0.12262642562770189,0.034493345514680085,0.5630498994586394,0.44931062964432184,0.4520107952175117,0.4287722301111438,0.5049755217346131,0.14563772122749602,-0.07623660593464082,0.12935644322252518,0.1254469193467657,0.3073580221748143,0.2156263026737596,0.16898540722712654,0.21448108938665414,-0.013145417180681554,0.17013528887799734,0.22233284669672632,0.2314074192572997,0.23528950594666959,0.21236081206021043,1.0,0.5673136450828893,0.5169762847831854,0.546103630490998,0.4919659327458082,0.6166716385557282,,0.05229754530061169
compactness_worst,-0.003094648093723781,0.41294632178310314,0.2613757879597129,0.4553342336543242,0.39014067878622427,0.016129576894022654,0.8663121789281738,0.7492126824834414,0.6652928268764506,0.4942165374339469,0.46114660716620465,0.2887893092570552,-0.08893948490672701,0.3417428653704293,0.281611071001468,-0.05734884219350749,0.6807756401811631,0.48572754422283587,0.45394334264998376,0.06713497594055551,0.39129949540814696,0.47389956071453965,0.36794693938243844,0.5286235178874803,0.4365093381420325,0.5673136450828893,1.0,0.8918465917278909,0.8014176738635943,0.6177851627211728,0.8105689965170491,,0.06806175657308303
concavity_worst,0.02533165121387702,0.5251413501708138,0.27289733548807726,0.5650960510126927,0.5115287337312752,0.05335890344079083,0.8169787482680255,0.8824435761358893,0.7535627627648739,0.4406202442553905,0.3457534202306033,0.3824815491245805,-0.07201513423705513,0.4188989640030388,0.3835525666236107,-0.061707396124738016,0.6393797432818178,0.6639689340398701,0.5536319979818491,0.03747276611113555,0.3806828229649179,0.572914841424931,0.3735215102603338,0.6180863535512663,0.5422633823118671,0.5169762847831854,0.8918465917278909,1.0,0.8566287379248432,0.5326806985349044,0.6872950281331816,,0.10371363866382804
concave points_worst,0.03576768259391732,0.7431613643429335,0.25313023833890436,0.7704555023838691,0.7231442996824756,0.0798735101941249,0.8164387299651342,0.8611923077970834,0.9097886437633257,0.43099031459031595,0.1786952189084717,0.532567208976091,-0.12283617923222875,0.5527775583743706,0.5343934090428202,-0.1048905312389746,0.48021039166719615,0.4441012581158425,0.6058009221326935,-0.027016493799431926,0.21679405231621252,0.7870826925870985,0.3556684302010657,0.8141446317273665,0.747295759072589,0.546103630490998,0.8014176738635943,0.8566287379248432,1.0,0.5026044014928536,0.5135427978444126,,0.0831771513617431
symmetry_worst,-0.041091260824982594,0.1647947800246331,0.09649523594090526,0.1889843721116409,0.13931794796520539,-0.009229901320040016,0.5145379396268452,0.4063458025693864,0.377054891329626,0.7021081378562427,0.3368587285882793,0.0982076448234697,-0.1266873570524042,0.11237774895086397,0.07301061181001166,-0.10830786259683212,0.2936305956182334,0.2050344947986847,0.15131434823105452,0.39556201956140713,0.13443511905893474,0.24732509327677435,0.23182549427749513,0.27188218783537504,0.20689089255202753,0.4919659327458082,0.6177851627211728,0.5326806985349044,0.5026044014928536,1.0,0.538127778461211,,0.03968445734191802
fractal_dimension_worst,-0.03131356011780088,0.0045593667496488955,0.11376920923777567,0.05075832849571453,0.0023238783681796796,-0.01831844180339513,0.6865482610197376,0.5103307276173196,0.36699314052578497,0.45124356128551457,0.7680885047688999,0.05004564653866923,-0.04404688888294512,0.08347040321323183,0.019118891035646467,0.0989386717872944,0.6006513079965348,0.4415398449029565,0.3122040208016043,0.079206497177462,0.5909353058227873,0.09282410145695788,0.2278087459599537,0.1411128292608214,0.08021032261396797,0.6166716385557282,0.8105689965170491,0.6872950281331816,0.5135427978444126,0.538127778461211,1.0,,0.05442373775356541
gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bratio,0.05252862316308645,0.06476430066277478,0.004790814854341759,0.07384009394143314,0.08722657210706793,-0.06374756379904309,0.08713068397965605,0.11475460826707622,0.10318380551047864,0.08407359957972284,0.02538161870871184,0.0865108140844885,0.007003995908641328,0.07927546688998229,0.09559077720353953,0.03154038820655652,0.047141102266992904,0.10742901836906717,0.05471935285924691,-0.006787334611181958,0.04357280963832021,0.07309118082641013,0.028806517351273236,0.06853496538077493,0.08962085961597972,0.05229754530061169,0.06806175657308303,0.10371363866382804,0.0831771513617431,0.03968445734191802,0.05442373775356541,,1.0
